city	date	fare	ride_id
Martinezhaven	2018-03-19 15:31:26	5.3	0264337981979
North Jason	2018-03-03 02:13:37	28.02	2670554129601
Jerryton	2018-03-03 17:50:23	28.08	6003411645536
Lake Scottton	2018-02-18 09:22:35	25.02	3909343123179
South Evanton	2018-02-14 05:55:36	42.5	9953662403430
Rogerston	2018-05-08 01:54:18	32.69	1643407853276
West Samuelburgh	2018-05-02 13:55:01	38.77	2931685225267
West Ericstad	2018-04-24 03:20:14	7.31	4292477885655
New Paulville	2018-03-10 10:45:24	4.43	1213919861269
Hurleymouth	2018-05-04 21:50:30	21.44	4039657784670
West Samuelburgh	2018-03-03 03:17:20	25.17	1781749929829
Joneschester	2018-03-01 18:48:35	34.71	3343258153690
New Paulville	2018-04-03 07:51:03	32.7	9562561279062
Simpsonburgh	2018-01-19 23:06:27	15.83	0233191052705
Port Angela	2018-04-17 06:23:18	16.34	7120534266772
West Ericstad	2018-04-04 13:03:16	28.52	6432849151942
New Kimberlyborough	2018-03-16 01:38:48	17.19	2770472867019
Joneschester	2018-01-30 17:41:45	36.78	1664032953575
North Markport	2018-04-26 04:45:54	44.37	1628416621603
Hurleymouth	2018-03-22 11:19:58	32.85	8449290696111
Barajasview	2018-01-15 02:59:07	19.52	8268107272481
Grahamburgh	2018-04-06 13:48:54	23.87	1468249595739
South Michelleport	2018-03-02 09:54:50	33.12	0813844006721
Loganberg	2018-01-07 19:02:38	16.26	9045377966666
West Christopherberg	2018-03-18 17:14:06	12.64	1061090771392
Rogerston	2018-02-23 19:13:13	14.04	7647140329924
Huntermouth	2018-02-24 07:57:03	39.12	0928039410570
New Jacobville	2018-02-09 02:17:35	7.11	3855046930326
Lake Jonathanshire	2018-04-07 20:51:11	31.25	4441251834598
Port David	2018-03-17 14:42:43	33.11	1025683688009
Martinezhaven	2018-02-20 19:32:45	13.34	2760692818274
Port Frank	2018-04-19 19:35:08	26.47	6722706570956
Valentineton	2018-03-02 14:44:47	39.77	6770387655387
Hurleymouth	2018-03-03 11:28:17	36.31	0167035392736
Carriemouth	2018-02-25 08:26:25	32.37	6918425016992
Port Samanthamouth	2018-04-16 18:34:44	9.2	8712247654732
Williamsstad	2018-01-23 17:51:24	19.62	0125986195523
Royland	2018-01-07 02:23:48	24.5	3620854074841
New Jacobville	2018-01-05 05:02:35	34.11	2828521502876
Roberthaven	2018-03-06 22:56:31	12.38	3372963379040
South Evanton	2018-01-07 18:47:02	43.61	9122502715686
New Paulton	2018-05-03 12:09:12	21.67	9086555898522
Karenberg	2018-03-11 17:26:12	36.15	7796761531541
Rodneyfort	2018-01-30 12:34:42	16.99	5778730523049
East Kaylahaven	2018-04-04 02:35:55	23.18	0057422927996
Huntermouth	2018-02-19 03:19:21	7.05	1616522979657
Barajasview	2018-01-23 13:23:53	37.68	4108452999906
Williamsstad	2018-03-29 21:43:04	35.58	4747780858464
North Jason	2018-03-08 20:06:21	25.21	3180078116241
Christopherfurt	2018-04-17 02:25:49	23.3	7819057680096
Liumouth	2018-01-11 17:15:17	36.78	1464517778842
Johnton	2018-01-17 02:12:01	32.19	8526302845313
West Angela	2018-03-08 01:08:42	41.06	6204872968343
Jerryton	2018-01-04 16:38:59	37.2	5637872466976
Erikaland	2018-02-18 07:47:15	20.62	3294151034077
North Jason	2018-02-07 07:27:09	20.0	0473650019126
Lake Scottton	2018-05-05 11:21:47	18.77	0405381774029
Simpsonburgh	2018-03-22 08:56:23	22.05	3495175591045
Raymondhaven	2018-03-12 06:59:59	16.98	6447701812060
West Robert	2018-04-05 03:18:56	44.58	4246011046064
North Jason	2018-03-18 10:10:37	6.41	2865826852282
Port Samanthamouth	2018-01-23 09:08:20	35.51	3116859378683
West Robert	2018-01-21 17:21:50	27.11	1369907297609
Jerryton	2018-01-05 15:36:46	37.91	1587079787234
Port Samanthamouth	2018-02-03 07:07:01	18.03	9292190648631
Liumouth	2018-01-15 07:55:34	14.55	4379351603939
West Heidi	2018-04-03 03:16:18	24.76	1820229390169
Loganberg	2018-01-21 16:26:37	22.86	1954301151475
Grahamburgh	2018-02-17 09:54:44	30.25	4047930050046
Raymondhaven	2018-05-06 23:22:49	25.76	8721024233275
Karenside	2018-01-25 15:35:18	14.52	2652359361585
Port Frank	2018-04-06 21:38:50	18.08	5474889861628
Leahton	2018-04-02 17:39:37	22.76	5808733389189
Port Samanthamouth	2018-04-22 03:32:37	29.67	3154062122440
Jerryton	2018-04-13 21:47:30	32.08	8499177647057
West Patrickchester	2018-03-07 15:47:07	23.66	3066093529306
West Samuelburgh	2018-03-03 16:07:24	27.48	0100530645822
North Markport	2018-03-31 13:58:15	29.41	3093467204446
West Angela	2018-03-10 11:23:00	27.1	1365318639571
Grahamburgh	2018-03-12 02:44:01	22.97	4898014437105
South Michelleport	2018-01-08 09:38:14	23.77	4916160406018
East Kaylahaven	2018-04-02 07:05:54	9.67	2088463469235
South Karenland	2018-04-22 21:37:41	22.86	6728151431002
Lake Danielberg	2018-02-24 12:05:12	9.63	9149328902854
Justinberg	2018-04-26 08:41:02	8.83	1823094898600
Karenberg	2018-04-29 20:54:19	28.41	9052850267417
South Phillip	2018-02-09 16:46:59	7.89	3203192947260
North Madeline	2018-04-05 18:23:53	29.69	0240702560536
New Kimberlyborough	2018-05-01 13:56:38	22.59	9250925234627
South Jack	2018-04-24 19:33:56	38.04	2197989679742
Erikaland	2018-03-11 02:19:28	27.39	0132013691958
New Paulville	2018-03-27 02:18:33	7.29	7046764870599
Hurleymouth	2018-03-26 20:22:28	41.15	4707260150471
Liumouth	2018-04-12 03:38:12	43.34	7857233769715
Deanville	2018-05-01 21:53:42	8.28	0592955132597
Karenside	2018-04-02 19:22:47	41.93	4093612247143
West Angela	2018-01-30 18:08:35	19.13	2078144834391
Liumouth	2018-02-01 20:17:16	24.81	5470070391967
Jerryton	2018-03-27 12:48:21	13.29	8959844730593
South Phillip	2018-05-04 09:10:40	28.3	8696571163934
Port Johnbury	2018-04-27 16:22:23	25.67	2746325666283
Raymondhaven	2018-02-08 23:57:16	5.7	3930029851451
Port David	2018-03-07 18:37:30	42.04	9905958460368
Robertport	2018-03-06 09:51:08	6.73	9679756863064
Loganberg	2018-03-16 11:46:25	23.99	9492898520301
Karenside	2018-04-19 10:17:18	36.01	1322743709668
Lake Jonathanshire	2018-03-09 23:45:55	19.89	2389495660448
Pattyland	2018-01-30 12:35:37	8.57	4688888414629
West Robert	2018-04-13 06:56:12	32.94	9603611942427
Justinberg	2018-04-12 05:27:42	17.03	8374760616644
West Josephberg	2018-02-09 14:07:54	4.42	8303790674379
North Markport	2018-01-21 11:49:50	27.68	4556759119631
Williamsview	2018-01-09 15:24:41	44.46	2195528331786
Raymondhaven	2018-02-01 05:51:10	13.86	8721051413299
South Latoya	2018-02-12 16:32:49	30.22	7388420725356
Deanville	2018-03-29 04:07:48	5.32	2612669233491
Amandaburgh	2018-03-05 02:15:38	26.28	0906850928986
Jerryton	2018-01-27 14:46:26	29.08	6160527574249
Deanville	2018-03-24 00:26:39	30.55	5276110988605
West Anthony	2018-01-23 12:32:46	23.24	0596601397101
West Anthony	2018-02-24 06:14:16	39.2	8491405671407
West Heidi	2018-03-30 10:46:05	22.41	1711351640331
Royland	2018-01-01 03:46:50	7.57	5815378003370
South Latoya	2018-03-02 06:06:17	10.35	0338288902823
Johnton	2018-01-08 17:33:26	43.75	0195318504552
West Angela	2018-01-30 18:46:42	32.31	7288678136396
Rodneyfort	2018-01-08 00:29:35	29.4	1184254566839
Royland	2018-01-02 20:08:57	10.19	0668201417968
New Paulville	2018-01-31 05:32:33	20.8	1092839241319
Huntermouth	2018-04-09 20:23:11	35.11	3005607850321
New Paulville	2018-01-30 15:21:53	7.02	8504962667575
Justinberg	2018-05-03 02:49:42	36.06	0929541725138
Port Angela	2018-03-31 15:22:26	30.77	0662264490197
Port Angela	2018-04-09 14:34:27	11.9	7009806605900
Christopherfurt	2018-01-05 22:21:59	33.51	1901033209479
South Michelleport	2018-04-22 03:15:33	43.62	4663606096929
Williamsstad	2018-02-13 20:07:49	33.72	3796713212942
Lake Jonathanshire	2018-04-07 18:09:21	24.28	7796805191168
Robertport	2018-03-20 19:11:26	20.21	9630923585394
Port Angela	2018-02-08 16:30:53	30.38	5165542108944
Barajasview	2018-02-08 18:07:22	24.49	2612169071005
South Evanton	2018-01-24 07:08:44	17.83	2996657789222
Lake Danielberg	2018-02-13 11:01:59	43.96	0100023890906
Royland	2018-04-19 00:05:32	25.4	9847755706013
Rodneyfort	2018-02-08 07:35:04	30.02	2497021545678
East Kaylahaven	2018-01-17 10:15:36	40.82	6342488049671
West Christopherberg	2018-01-17 14:30:56	9.04	5154845220316
New Jacobville	2018-01-15 15:27:56	27.24	3812959891670
Lake Jonathanshire	2018-01-02 14:14:50	13.89	0424254840012
Port Samanthamouth	2018-04-25 09:50:07	25.5	1169125626263
West Heidi	2018-03-26 09:45:05	22.33	0826311164930
Karenside	2018-04-14 05:11:17	13.13	3659608833762
Valentineton	2018-02-01 14:11:33	9.68	2132098607750
Raymondhaven	2018-02-23 11:13:25	4.24	0294151163985
Carriemouth	2018-03-11 21:35:00	16.78	1519393006937
West Josephberg	2018-01-16 16:17:05	7.04	2507076269228
Port Samanthamouth	2018-03-01 08:58:12	43.25	1389178507955
Karenberg	2018-03-30 11:38:39	24.64	4539326805168
New Paulton	2018-03-10 01:07:52	28.0	1067162551534
Joneschester	2018-02-07 18:36:22	6.34	2605462716773
North Jasmine	2018-02-08 19:03:17	4.86	1276628602813
Valentineton	2018-02-27 00:40:41	25.4	6152363850717
New Paulton	2018-02-20 16:59:35	24.29	7738134446199
South Evanton	2018-04-28 08:15:09	22.86	7585355194527
North Jasmine	2018-01-22 17:25:25	31.68	0712301571386
West Anthony	2018-03-17 00:30:34	35.42	4561324147940
Jerryton	2018-04-29 02:49:02	41.27	0902958428816
Grahamburgh	2018-01-09 07:00:08	13.55	5462604726666
South Jack	2018-03-30 20:21:59	4.2	4817670763151
West Christopherberg	2018-01-23 21:23:07	30.93	5335678989278
Lake Scottton	2018-03-26 00:49:34	9.79	1827900502613
West Patrickchester	2018-01-14 01:15:16	24.82	5934939559689
Royland	2018-01-17 14:08:06	27.92	3147266211478
South Karenland	2018-02-14 14:00:56	39.53	2861641294573
Erikaland	2018-03-27 13:11:14	36.52	2195945483563
Rodneyfort	2018-03-20 10:40:26	42.57	6354946184466
Williamsstad	2018-05-01 01:26:21	26.81	4542954169892
Richardfort	2018-02-13 12:46:07	14.0	0910050116494
West Ericstad	2018-01-25 12:29:55	20.03	3276480043173
Grahamburgh	2018-03-05 05:39:23	4.33	0803728527251
North Barbara	2018-05-04 02:33:59	24.09	9275090570165
West Robert	2018-01-04 06:10:40	35.35	9554287895527
Justinberg	2018-03-14 10:46:12	36.32	6771691925128
South Michelleport	2018-03-03 16:13:34	41.62	2339775503972
North Jasmine	2018-02-22 01:56:17	25.33	1319966936025
Barajasview	2018-03-01 11:06:21	28.25	7225827834994
Carriemouth	2018-04-04 13:22:44	12.91	4276692439725
Amandaburgh	2018-02-24 23:10:49	43.66	6573820412437
Johnton	2018-03-27 00:10:12	18.89	3634068282558
Port Angela	2018-03-04 03:26:39	40.35	4930810733132
Rodneyfort	2018-05-06 22:21:58	27.16	3765495922622
Amandaburgh	2018-02-10 20:42:46	36.17	6455620849753
North Madeline	2018-02-25 04:32:14	13.58	4932836345153
West Angela	2018-03-01 11:13:34	30.3	9673529276907
Joneschester	2018-01-03 05:45:12	25.47	5540177253069
Joneschester	2018-01-03 01:03:50	17.97	5439310968925
South Phillip	2018-01-29 11:26:47	35.23	7418234487567
Liumouth	2018-03-30 03:13:00	4.66	3164443361610
West Anthony	2018-01-10 02:31:33	32.34	1479317039864
North Jason	2018-02-26 11:57:44	13.88	2494980859402
North Jason	2018-03-21 09:45:04	10.42	6601538015784
Carriemouth	2018-04-28 14:28:36	11.46	6991852632799
Huntermouth	2018-05-04 15:20:09	36.77	7186624075617
South Phillip	2018-04-18 06:03:51	39.95	9719024631848
South Jack	2018-02-01 22:32:07	28.37	3372008354124
Port Johnbury	2018-05-05 06:26:50	25.3	2541021070088
South Phillip	2018-05-06 05:05:46	43.43	2435201344352
North Jasmine	2018-04-10 11:45:30	38.24	2954995327773
South Michelleport	2018-01-27 19:38:12	15.45	7465262064048
North Madeline	2018-04-07 08:54:49	32.99	1819348275778
Christopherfurt	2018-02-24 02:56:43	40.33	9584185927129
Williamsstad	2018-02-23 17:42:40	4.68	9109973457376
Martinezhaven	2018-04-18 01:40:39	34.7	2023088734313
Simpsonburgh	2018-04-03 08:47:52	4.74	8556334983479
New Jacobville	2018-02-04 04:57:28	27.63	4329146429572
South Karenland	2018-02-12 03:42:21	5.78	8890444520323
Royland	2018-01-27 01:01:17	24.56	9656712323480
Karenside	2018-01-22 13:11:13	24.72	5326728612017
West Robert	2018-05-05 05:18:46	10.15	9392183503517
Port Samanthamouth	2018-04-27 08:48:36	12.84	5659906087636
West Samuelburgh	2018-03-07 01:51:26	14.55	7160360480942
New Kimberlyborough	2018-03-29 20:35:12	42.51	8296939454553
Port David	2018-03-27 11:56:08	15.64	5338482988567
Karenside	2018-03-18 12:48:08	36.96	7605140597934
New Paulton	2018-02-08 17:11:44	39.65	8505964159174
West Ericstad	2018-01-08 09:03:12	32.99	6688341118130
Port Johnbury	2018-03-21 02:20:43	32.8	5450926790120
Port Samanthamouth	2018-03-27 00:31:25	16.05	1412275851963
Port Frank	2018-01-08 23:51:25	42.13	2099160507410
Lake Jonathanshire	2018-04-06 11:30:32	16.84	6164453571846
West Angela	2018-02-05 18:53:14	36.37	7832434584190
Port Samanthamouth	2018-03-27 01:08:09	21.46	9991537657885
North Madeline	2018-03-04 17:20:57	21.38	9544488245764
Williamsview	2018-01-15 00:10:14	44.33	4627033032394
Grahamburgh	2018-02-21 06:55:34	22.65	0816396119895
South Evanton	2018-03-06 03:56:20	30.87	5811915354455
Loganberg	2018-03-27 13:32:59	4.72	6120689505628
Carriemouth	2018-02-21 16:38:59	44.18	4528590417948
Port David	2018-01-02 11:51:32	7.45	6148349878448
West Heidi	2018-01-30 12:59:43	30.84	8936556138183
Williamsstad	2018-03-05 02:33:54	25.02	1313211827663
North Barbara	2018-02-04 08:12:17	42.59	4971254409177
Lake Danielberg	2018-03-17 19:23:29	10.18	4714399161872
North Markport	2018-04-13 07:37:48	20.09	4311213165551
Port Angela	2018-05-02 04:14:34	35.76	7945958687114
Port Samanthamouth	2018-03-15 15:08:17	25.97	7725957367534
West Angela	2018-05-03 09:04:03	24.07	7808186044800
Leahton	2018-02-21 20:37:56	24.13	6759666489394
North Markport	2018-04-28 04:34:56	40.46	2567890241480
Karenside	2018-03-09 03:50:21	40.86	1757540646784
Jerryton	2018-01-07 12:05:30	7.86	0707330492023
South Michelleport	2018-04-14 01:20:33	37.93	1533269357947
Valentineton	2018-03-25 20:45:53	22.53	2335054032577
East Kaylahaven	2018-04-09 16:57:04	10.03	8036811423686
Erikaland	2018-04-13 12:26:02	25.22	4847173431127
West Christopherberg	2018-01-08 08:25:29	37.78	8767059547253
Pattyland	2018-02-01 22:43:37	32.03	2850242716720
Deanville	2018-02-08 23:33:35	21.22	4786811969861
West Christopherberg	2018-03-21 00:14:02	43.87	5085480897932
Justinberg	2018-03-23 06:28:19	30.58	3503303797228
Lake Danielberg	2018-02-24 19:34:24	34.82	2442272882270
Port Samanthamouth	2018-01-30 01:19:21	38.78	6119834234421
Lake Danielberg	2018-02-28 15:08:06	44.96	6319592522765
Deanville	2018-04-15 01:36:17	24.3	1065303121400
Pattyland	2018-02-15 15:13:00	44.03	1556659025684
Karenside	2018-01-27 08:52:04	7.65	0473229767373
Port Angela	2018-04-22 16:43:04	7.91	6767308381142
West Angela	2018-04-14 18:40:42	32.77	4995732310908
South Karenland	2018-03-26 06:12:20	35.5	1482388219714
New Jacobville	2018-02-18 21:09:27	39.97	8028701861067
Roberthaven	2018-03-14 16:12:38	36.84	4123408925006
Lake Scottton	2018-04-24 11:54:24	5.31	9668336101351
Amandaburgh	2018-01-11 02:22:07	29.24	7279902884763
Reynoldsfurt	2018-05-05 17:38:07	14.95	1404730379464
West Patrickchester	2018-02-09 05:54:52	16.1	9112333244288
Christopherfurt	2018-04-13 08:29:32	37.22	3288049380261
South Evanton	2018-04-27 00:58:54	27.78	9377577941892
Lake Scottton	2018-02-07 05:08:45	10.76	4201252290232
Roberthaven	2018-03-14 15:24:44	35.27	4034558003134
Rodneyfort	2018-03-04 15:13:08	28.69	0275697942784
West Josephberg	2018-02-17 06:28:32	41.49	2821329685338
Lake Jonathanshire	2018-03-21 00:18:34	37.95	8353656732934
Simpsonburgh	2018-02-05 16:02:12	25.58	2038696705617
West Heidi	2018-03-19 03:15:53	5.65	2474790192418
North Barbara	2018-03-23 20:59:03	23.76	5550267040448
North Jasmine	2018-03-11 21:03:21	37.93	4221378334009
West Gabriel	2018-04-29 01:22:02	36.7	4103498186235
Liumouth	2018-04-14 06:43:14	31.63	6166289534408
Carriemouth	2018-03-02 15:40:25	28.04	5138542326977
West Robert	2018-03-24 15:21:54	34.9	9472333753457
North Jasmine	2018-05-02 10:24:46	29.86	3198992800658
Carriemouth	2018-03-21 15:40:04	44.64	9560844852216
Lake Scottton	2018-02-15 06:49:06	22.75	8382035977413
North Madeline	2018-04-12 13:57:21	7.77	9273340476908
Lake Danielberg	2018-01-07 09:41:54	17.39	4355535554709
North Madeline	2018-04-30 16:02:17	37.48	2508127842117
Port David	2018-01-07 20:03:19	20.49	5846260665949
Royland	2018-02-11 03:46:39	30.41	7200099766471
West Samuelburgh	2018-02-20 01:05:29	19.65	6623791282079
West Angela	2018-03-18 12:08:51	34.05	5332405801414
West Patrickchester	2018-03-06 04:19:59	32.37	3684669591726
Port Frank	2018-02-05 10:34:09	20.1	4443074322856
New Kimberlyborough	2018-02-09 05:48:26	39.55	6010050950112
Justinberg	2018-04-20 07:37:19	29.07	0209654592347
West Angela	2018-04-18 12:07:32	16.18	5770095626762
Justinberg	2018-03-10 09:19:12	37.89	5563129650174
Valentineton	2018-01-10 17:29:33	19.91	0774511223608
Williamsview	2018-04-07 00:32:37	18.92	0023948941587
South Jack	2018-01-31 02:51:29	21.75	6971155853312
Port Frank	2018-02-18 18:49:51	39.06	7301845642275
Leahton	2018-02-13 11:40:59	16.79	4744794513785
South Michelleport	2018-02-22 07:44:56	22.52	8522744579472
South Karenland	2018-04-25 14:44:55	24.86	1307706550174
Richardfort	2018-02-16 13:52:19	17.92	0820639054416
Williamsstad	2018-04-16 23:07:08	23.12	0969457753191
South Michelleport	2018-02-12 07:41:25	27.7	5582884622172
West Patrickchester	2018-04-13 19:49:03	33.33	1834060234971
Martinezhaven	2018-04-18 18:37:14	5.81	2124254219877
North Jason	2018-01-23 22:51:26	21.95	6701800897657
North Jason	2018-04-18 12:19:12	22.42	4927790361844
Lake Scottton	2018-05-03 22:33:04	9.01	1289762706583
West Christopherberg	2018-03-01 21:33:11	11.97	6422545841490
North Markport	2018-04-10 22:15:25	38.02	8834525256657
Christopherfurt	2018-04-09 00:32:07	29.96	9825842278797
North Madeline	2018-01-29 16:12:52	17.57	2596456211339
Richardfort	2018-02-01 20:18:28	10.26	9554935945413
South Phillip	2018-01-25 05:04:01	38.15	3599156329334
East Kaylahaven	2018-02-11 00:24:18	43.19	8671036380224
Rodneyfort	2018-04-11 02:57:58	36.3	9048909984411
Pattyland	2018-04-26 08:31:23	19.99	8827777964944
South Karenland	2018-03-24 23:37:10	41.44	0604857308441
Port David	2018-03-24 21:58:25	28.84	5266776204034
Rodneyfort	2018-03-10 05:23:50	29.13	4634913853499
New Paulton	2018-02-02 16:37:18	17.19	8500434852265
Williamsstad	2018-03-12 01:39:41	18.67	2161825345900
South Michelleport	2018-01-29 20:40:56	9.79	5529055605923
West Christopherberg	2018-03-21 02:57:41	21.41	7703401822129
Lake Scottton	2018-03-25 21:46:20	36.92	7043639906896
Port Angela	2018-03-19 12:32:49	17.21	1694214658257
Christopherfurt	2018-04-17 22:12:49	32.39	0653651735748
Joneschester	2018-02-27 08:19:34	33.34	2386091007509
Loganberg	2018-01-25 01:59:40	26.03	9123752490460
South Phillip	2018-02-19 13:19:38	33.07	8518162252523
Deanville	2018-01-23 13:00:34	42.45	7286207597519
New Kimberlyborough	2018-01-30 21:46:18	29.09	8587116438511
Port Johnbury	2018-04-11 10:26:44	9.1	7804751879143
West Patrickchester	2018-04-19 03:26:10	44.5	8638322986256
West Robert	2018-01-11 11:10:10	5.16	1592591668312
New Paulton	2018-03-28 03:35:48	14.94	3703489461658
South Latoya	2018-03-19 16:19:22	31.72	0363818381250
Robertport	2018-02-18 15:01:19	43.47	7995689882173
Valentineton	2018-01-19 19:40:33	6.71	9052705381572
South Latoya	2018-01-18 20:09:27	10.98	7144193668593
Simpsonburgh	2018-01-12 04:35:48	24.83	3151662422628
West Patrickchester	2018-02-12 16:33:18	22.64	4553727088647
Richardfort	2018-04-17 02:26:37	23.0	0720020655850
Hurleymouth	2018-02-20 10:47:47	17.07	7023698303898
Leahton	2018-01-27 08:09:59	29.36	2921814447813
West Anthony	2018-04-29 01:12:26	27.04	4375353573218
New Kimberlyborough	2018-01-05 09:33:59	39.47	2812686066656
South Latoya	2018-03-19 22:03:13	40.29	0660212576580
Williamsstad	2018-04-12 12:30:28	17.57	7099676230210
South Karenland	2018-02-01 19:45:09	31.64	9377347717139
North Jason	2018-04-16 15:23:51	24.07	9726118672366
West Angela	2018-01-27 09:35:35	9.24	2623127281275
Lake Danielberg	2018-02-08 05:58:51	10.31	2464526787162
Port Samanthamouth	2018-04-06 13:42:16	24.18	8484624581374
New Jacobville	2018-02-09 02:25:28	37.51	5692071338561
New Kimberlyborough	2018-03-10 13:55:17	10.83	1558582913618
New Kimberlyborough	2018-01-08 18:59:23	13.34	0626984358861
Karenberg	2018-03-05 01:38:53	44.1	9226782716583
South Phillip	2018-04-11 10:09:51	21.06	4832097145304
Loganberg	2018-01-20 01:34:06	38.66	7239150907201
Carriemouth	2018-05-01 04:53:47	10.97	8792105073561
West Patrickchester	2018-01-21 14:48:10	19.44	2088367820569
Martinezhaven	2018-02-07 21:45:45	4.31	9333328117367
Karenside	2018-01-08 08:49:26	22.64	2411622219363
North Jason	2018-03-24 07:40:47	32.72	7960288695592
Lake Danielberg	2018-03-28 09:56:51	28.53	9808251785117
Pattyland	2018-04-03 03:29:52	14.06	5399011565161
Pattyland	2018-02-21 17:53:52	7.06	5808457670013
Loganberg	2018-01-11 04:27:00	44.34	1376539129772
Leahton	2018-02-28 13:10:56	9.08	8197500470005
Reynoldsfurt	2018-01-17 21:35:17	24.84	5000179618056
Raymondhaven	2018-02-22 23:54:55	7.64	7311722757336
South Latoya	2018-02-12 22:59:02	5.54	0839760150140
Lake Scottton	2018-01-18 02:32:38	31.92	5706292854110
Port David	2018-02-24 22:20:33	35.63	3354533588717
Roberthaven	2018-04-05 14:01:28	31.09	1016221662728
Rogerston	2018-03-24 02:56:21	39.6	9196190355530
Karenberg	2018-04-27 14:57:38	44.73	3800715746753
Martinezhaven	2018-04-14 16:26:12	32.57	0971301770681
South Evanton	2018-01-20 23:10:11	25.94	3431712132166
North Jasmine	2018-04-26 12:08:00	35.33	6857334790152
Hurleymouth	2018-01-12 01:19:37	10.64	8125602737085
West Robert	2018-03-07 15:57:52	12.22	2705603518423
Deanville	2018-04-21 23:32:00	33.37	7763075637368
South Michelleport	2018-01-09 01:48:18	10.68	3236914422707
Royland	2018-02-02 12:51:14	42.52	7835417212110
Rodneyfort	2018-04-10 23:38:24	25.4	9060368477501
North Madeline	2018-01-12 09:42:16	20.82	8114793919394
Lake Danielberg	2018-04-28 04:00:40	39.82	7889097267847
Port Johnbury	2018-05-02 12:46:00	42.42	3245384693395
Richardfort	2018-04-21 03:44:04	9.54	3698147103219
Liumouth	2018-03-22 04:06:56	33.1	3678560093519
Roberthaven	2018-01-21 19:25:49	23.14	4939144549549
Amandaburgh	2018-01-21 04:12:54	9.26	5528427024492
South Evanton	2018-04-25 00:37:43	26.84	1539243695029
Port Samanthamouth	2018-03-25 13:20:36	34.94	0821746998655
South Michelleport	2018-03-13 04:21:16	10.44	5684862759907
North Madeline	2018-01-14 03:43:39	31.88	8713001121613
Hurleymouth	2018-03-17 06:50:12	29.95	5225181132639
Port David	2018-04-10 14:27:37	26.68	5361385420513
Pattyland	2018-02-10 02:55:45	24.39	7264853866807
Liumouth	2018-03-17 19:21:42	19.05	9118269983987
Robertport	2018-04-03 01:20:38	15.14	6669724727514
Hurleymouth	2018-04-01 06:26:40	9.94	4063425632467
West Samuelburgh	2018-04-17 11:25:21	15.03	4021528530189
South Phillip	2018-03-18 04:11:03	17.57	8431004701020
West Josephberg	2018-01-29 02:13:40	7.58	6142965001815
Roberthaven	2018-02-16 10:23:48	14.95	6653679183105
